date,time,temperature,humidity,wind_speed,precipitation
1/9/2022,0:00:00,14.3285,94,13.312897,0.65
1/9/2022,2:00:00,14.578501,93,11.218298,0.4
1/9/2022,4:00:00,15.3785,89,9.302604,0.2
1/9/2022,6:00:00,15.9035,85,7.3074007,0.2
1/9/2022,8:00:00,17.4785,73,9.783386,0
1/9/2022,10:00:00,16.6035,73.5,9.101244,0
1/9/2022,12:00:00,15.1785,77.5,13.335112,0
1/9/2022,14:00:00,14.6035,75.5,19.294739,0
1/9/2022,16:00:00,13.6035,73,16.213413,0
1/9/2022,18:00:00,12.8035,69.5,12.266098,0
1/9/2022,20:00:00,12.2035,69.5,10.13962,0
1/9/2022,22:00:00,11.6785,71.5,11.823309,0
1/10/2022,0:00:00,11.328501,72.5,8.784925,0
1/10/2022,2:00:00,12.7535,67.5,6.627912,0
1/10/2022,4:00:00,15.678499,55.5,6.0658116,0
1/10/2022,6:00:00,17.878498,45.5,5.3809347,0
1/10/2022,8:00:00,18.753498,38,6.1435356,0
1/10/2022,10:00:00,17.878498,40.5,10.981705,0
1/10/2022,12:00:00,16.1035,53,13.203973,0
1/10/2022,14:00:00,14.9785,59.5,12.484844,0
1/10/2022,16:00:00,14.0785,62.5,11.963208,0
1/10/2022,18:00:00,13.2285,65.5,11.062273,0
1/10/2022,20:00:00,12.5035,69.5,11.327419,0
1/10/2022,22:00:00,11.903501,72.5,12.424613,0
1/11/2022,0:00:00,11.5285,74,11.172424,0
1/11/2022,2:00:00,12.7285,64.5,12.324525,0
1/11/2022,4:00:00,15.7535,47.5,8.495437,0
1/11/2022,6:00:00,18.003498,38,8.067101,0
1/11/2022,8:00:00,18.878498,36,9.282284,0
1/11/2022,10:00:00,17.7785,40.5,15.194827,0
1/11/2022,12:00:00,15.678499,45.5,17.33645,0
1/11/2022,14:00:00,14.6535,48,12.295896,0
1/11/2022,16:00:00,13.8535,52.5,10.77849,0
1/11/2022,18:00:00,13.1035,58,12.182281,0
1/11/2022,20:00:00,12.7535,61.5,13.2817955,0
1/11/2022,22:00:00,12.6035,65,12.131779,0
1/12/2022,0:00:00,11.703501,71,7.6911674,0
1/12/2022,2:00:00,12.7285,66,6.6642504,0
1/12/2022,4:00:00,15.7535,52.5,4.8727045,0
1/12/2022,6:00:00,18.0285,43.5,4.0341077,0
1/12/2022,8:00:00,18.8785,39.5,3.4069633,0
1/12/2022,10:00:00,18.003498,41,6.478876,0
1/12/2022,12:00:00,16.578499,48.5,9.605858,0
1/12/2022,14:00:00,15.6035,56.5,9.086401,0
1/12/2022,16:00:00,14.703501,61,9.288359,0
1/12/2022,18:00:00,14.203501,63,4.684603,0
1/12/2022,20:00:00,13.703501,65,2.992963,0
1/12/2022,22:00:00,13.0035,68,2.35354,0
1/13/2022,0:00:00,12.5035,70.5,2.5987682,0
1/13/2022,2:00:00,13.828501,65,1.8110147,0
1/13/2022,4:00:00,16.5535,52.5,3.549845,0
1/13/2022,6:00:00,18.328499,40.5,5.4055414,0
1/13/2022,8:00:00,18.9035,35.5,4.7723,0
1/13/2022,10:00:00,17.9285,37,5.6905804,0
1/13/2022,12:00:00,16.3535,44,9.424673,0
1/13/2022,14:00:00,15.203501,51.5,6.639628,0
1/13/2022,16:00:00,14.2785,56,5.173955,0
1/13/2022,18:00:00,13.2785,59.5,5.101042,0
1/13/2022,20:00:00,12.5285,62.5,4.0955663,0
1/13/2022,22:00:00,11.9285,64,3.9456334,0
1/14/2022,0:00:00,11.4035,64,3.3876882,0
